,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
14,23,Emily Baecher,Handler,,,0,4,4,12,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,EMILY BAECHER
15,25,Jennifer Gobin,Handler,,"5'4""",0,0,0,0,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,JENNIFER GOBIN
16,26,Elana Schwam,,,"5'4""",1,0,1,3,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,ELANA SCHWAM
17,28,Shellie Cohen,,,,0,0,1,0,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,SHELLIE COHEN
18,29,Caitlyn Lee,Handler,,,4,1,0,4,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,CAITLYN LEE
19,37,Lauren Sadler,Defense (Cutter),,"5'2""",3,3,0,0,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,LAUREN SADLER
20,39,Sydney Dobkin,,,,0,0,3,1,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,SYDNEY DOBKIN
21,42,Rachel Kramer,Cutter,,,2,2,2,0,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,RACHEL KRAMER
22,46,Joanna JoJo Emerson,Handler,,"1'0""",1,2,1,2,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,JOANNA JOJO EMERSON
23,52,Caitlin O'Connell,,,,6,0,1,1,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,CAITLIN O'CONNELL
