,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
6,10,Amber Sinicrope,,,"1'0""",6,6,2,9,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,AMBER SINICROPE
7,13,Becky Malinowski,,,,5,4,3,7,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,BECKY MALINOWSKI
8,14,Tulsa Douglas,Handler,,"5'9""",0,3,4,6,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,TULSA DOUGLAS
9,15,Kimberly Culpan,,,"5'9""",0,0,2,1,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,KIMBERLY CULPAN
10,16,Erin Rea,Cutter,,,0,0,0,0,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,ERIN REA
11,17,Angela Zhu,,,"1'0""",2,12,2,15,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,ANGELA ZHU
12,21,Chelsea Murphy,,,"5'3""",6,2,1,3,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,CHELSEA MURPHY
13,22,Victoria Negus,,,,1,0,0,3,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,VICTORIA NEGUS
14,23,Emily Baecher,Handler,,,1,5,5,18,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,EMILY BAECHER
15,25,Jennifer Gobin,Handler,,"5'4""",0,0,0,1,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,JENNIFER GOBIN
16,26,Elana Schwam,,,"5'4""",5,2,2,4,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,ELANA SCHWAM
17,28,Shellie Cohen,,,,0,0,1,0,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,SHELLIE COHEN
